Ticker,Date,Open,High,Low,Close,Volume
ACS.MC,2020-01-02,23.7413935788,23.7811506908,23.3173236847,23.3173236847,547978
ACS.MC,2020-01-03,23.2643149285,23.2643149285,22.8799995632,23.0324001312,934352
ACS.MC,2020-01-06,22.9926414956,23.0854089426,22.6547111577,22.8866233826,660353
ACS.MC,2020-01-07,22.9396390774,23.178179248,22.8402462741,22.9528923035,752310
ACS.MC,2020-01-08,22.8932549982,23.0721594742,22.7541050835,23.0191516876,696003
ACS.MC,2020-01-09,23.290820913,23.2974488041,22.7010971451,22.7408542633,768472
ACS.MC,2020-01-10,22.8402497164,22.8866321792,22.6083374023,22.6083374023,1273372
ACS.MC,2020-01-13,22.7209791012,22.7408576633,22.5420720425,22.66796875,1061479
ACS.MC,2020-01-14,22.6547146929,22.7408542633,22.4161745407,22.7408542633,1469249
ACS.MC,2020-01-15,22.6083310262,22.7806076007,22.0649871826,22.0649871826,1264933
ACS.MC,2020-01-16,22.0848641597,22.7275981903,22.0119778235,22.7275981903,906584
ACS.MC,2020-01-17,23.0456591608,23.496235645,22.9263877869,22.9263877869,1234622
ACS.MC,2020-01-20,23.0390250594,23.1582964012,22.8203634899,22.8799991608,1024050
ACS.MC,2020-01-21,22.773981488,22.8932528321,22.6215809196,22.6282062531,712275
ACS.MC,2020-01-22,22.7077224134,22.8203658766,22.3101563466,22.3300323486,573392
ACS.MC,2020-01-23,21.2698511082,21.660791795,20.7463871363,21.1373291016,2550144
ACS.MC,2020-01-24,21.3361132194,21.3891209988,21.1240769876,21.157207489,828087
ACS.MC,2020-01-27,21.1042008289,21.2234709032,20.6735029833,20.8524074554,876462
ACS.MC,2020-01-28,20.8789117445,21.0048084259,20.5608573741,21.0048084259,885547
ACS.MC,2020-01-29,20.971678442,21.104201747,20.5873643097,20.9186706543,1090113
ACS.MC,2020-01-30,20.7397632888,20.8921638631,20.5873627146,20.6867542267,852344
ACS.MC,2020-01-31,20.6867568128,20.7000087603,19.8452396037,19.8982486725,1516250
ACS.MC,2020-02-03,19.898247759,19.898247759,19.4344181087,19.5868186951,1348666
ACS.MC,2020-02-04,19.7524720957,19.9181246255,19.6795844711,19.7325935364,1260792
ACS.MC,2020-02-05,19.7193405566,20.3819531983,19.5603133692,20.1765422821,1140897
ACS.MC,2020-02-06,20.3421952172,20.4879691739,19.9181227354,19.9777584076,1440616
ACS.MC,2020-02-07,19.8783688082,20.2229270935,19.8452383022,20.2229270935,1253057
ACS.MC,2020-02-10,20.2096736092,20.4415871336,20.0837769289,20.1301593781,1064627
ACS.MC,2020-02-11,20.3819563829,20.9650548828,20.0837805197,20.8855419159,1336375
ACS.MC,2020-02-12,20.88554118,21.0776976164,20.6735049044,21.0445671082,1596528
ACS.MC,2020-02-13,20.9054168863,21.0909466843,20.6867540275,21.0578174591,801992
ACS.MC,2020-02-14,21.1240793071,21.1770883708,20.7132587433,20.7132587433,980410
ACS.MC,2020-02-17,20.9385469811,21.2035923004,20.8126515732,21.2035923004,881779
ACS.MC,2020-02-18,21.1997110583,21.1997110583,20.7896971519,20.9106845856,967845
ACS.MC,2020-02-19,21.1593785875,21.1997081588,19.996553421,19.996553421,2504610
ACS.MC,2020-02-20,20.0032756784,20.7292014865,19.7344140278,20.6821498871,1566078
ACS.MC,2020-02-21,20.5208334495,20.5208334495,20.1040988526,20.1914787292,1885893
ACS.MC,2020-02-24,19.6806442405,19.8554040118,19.0958718582,19.4857196808,1940711
ACS.MC,2020-02-25,19.5529364101,19.6201515084,18.5648708344,18.5648708344,2327474
ACS.MC,2020-02-26,18.5581488058,18.9076683542,18.3430594538,18.5648708344,2234085
ACS.MC,2020-02-27,18.4102745695,18.5850343316,17.8927160144,18.3766670227,1922655
ACS.MC,2020-02-28,18.1481344204,18.1817419663,17.7112350274,18.0473117828,3491088
ACS.MC,2020-03-02,18.3296148922,18.3565017071,17.5431959855,18.006980896,2000138
ACS.MC,2020-03-03,18.3228967921,18.6522515666,17.953212438,17.9733772278,2385991
ACS.MC,2020-03-04,18.0271460391,18.2960063916,17.8254994777,17.9532089233,2597902
ACS.MC,2020-03-05,18.1078048207,18.1615771534,17.1600689163,17.4087657928,2205277
ACS.MC,2020-03-06,17.1399055258,17.2407281714,16.4744739895,16.5887393951,2142093
ACS.MC,2020-03-09,15.7418259156,15.8762560975,14.9285202026,14.9285202026,3426874
ACS.MC,2020-03-10,15.0427882483,15.5939530811,14.2362031937,14.2362031937,3061444
ACS.MC,2020-03-11,14.3639120015,14.7470403714,13.6043798839,13.7119245529,5863378
ACS.MC,2020-03-12,12.9927192555,13.0935405881,11.0938859321,11.12413311,4245957
ACS.MC,2020-03-13,13.2010862553,13.2010862553,11.036754083,11.1543798447,2958310
ACS.MC,2020-03-16,10.5158356914,10.5460828731,8.8556179214,9.5546569824,4539586
ACS.MC,2020-03-17,9.9478646869,10.2671376274,8.4758497032,9.1580848694,3644108
ACS.MC,2020-03-18,8.9934076629,9.2353831495,7.7969755819,7.8137793541,5162532
ACS.MC,2020-03-19,7.9717363235,8.2775659231,7.5281155155,7.6927928925,3931331
ACS.MC,2020-03-20,8.4556849071,9.20177479,8.1801019006,8.9900465012,4400176
ACS.MC,2020-03-23,8.7715965358,9.4706361481,8.5901160645,9.1782493591,2606583
ACS.MC,2020-03-24,9.7932699377,10.0822963754,9.5109661761,9.746219635,3426084
ACS.MC,2020-03-25,10.1831186485,11.4266022846,10.0318840558,10.861992836,3096559
ACS.MC,2020-03-26,10.5998553307,11.762680057,10.4183748209,11.500541687,2608494
ACS.MC,2020-03-27,11.5072615572,11.8903886343,10.435177166,10.7914180756,2670224
ACS.MC,2020-03-30,10.5494427185,11.2921716843,9.7529414202,10.9493741989,6284210
ACS.MC,2020-03-31,11.2182350926,12.0785924543,10.8922420132,11.9744081497,2506915
ACS.MC,2020-04-01,11.5173437123,12.1760531826,11.3459456135,11.4165210724,2590682
ACS.MC,2020-04-02,11.460208936,11.782842918,11.2249561256,11.5576725006,1873540
ACS.MC,2020-04-03,11.5610326602,11.9172728834,11.3593873978,11.3593873978,1404763
ACS.MC,2020-04-06,12.4348303543,12.5490970311,11.9912089982,12.2130203247,1815288
ACS.MC,2020-04-07,12.5894267076,14.0479990758,12.5860663422,13.3388776779,2709419
ACS.MC,2020-04-08,13.2044486353,13.8060254231,12.9187838323,13.2380561829,2025956
ACS.MC,2020-04-09,13.6110976191,13.7925793703,13.1473127949,13.4430599213,2778380
ACS.MC,2020-04-14,14.0883306118,14.3437482465,13.691760751,13.8261909485,2358197
ACS.MC,2020-04-15,13.8463526146,13.9673400245,13.443060816,13.4766683578,2151051
ACS.MC,2020-04-16,13.5102792837,13.7388114034,12.9725558864,13.2615823746,2770070
ACS.MC,2020-04-17,13.6447066723,14.0143909454,13.4968337412,14.0143909454,1868102
ACS.MC,2020-04-20,14.1152152659,14.1757096293,13.5842152402,13.9068479538,1762285
ACS.MC,2020-04-21,13.590932836,13.8597944494,13.4430599213,13.4430599213,2435576
ACS.MC,2020-04-22,13.5102798955,13.7791403094,13.4565075533,13.7320899963,1706775
ACS.MC,2020-04-23,13.6379888575,14.0480014921,13.6379888575,13.9471788406,1306273
ACS.MC,2020-04-24,13.7119248586,14.0480003357,13.5438858231,14.0480003357,1299975
ACS.MC,2020-04-27,14.2294798471,14.431126398,14.1958723048,14.3437452316,1526309
ACS.MC,2020-04-28,14.4512864248,15.0091743469,14.3571858476,15.0091743469,1622210
ACS.MC,2020-04-29,15.0562291637,15.9031410977,14.9890140749,15.8157625198,1368881
